선명,역명,지상구분,역층,승강장연결 여부,스크린도어 유무,안전발판 유무
1호선,괴정,지하,2,Y,Y,Y
1호선,교대,지하,2,Y,Y,Y
1호선,구서,지상,2,N,Y,Y
1호선,남산(부산외국대학교),지하,2,N,Y,Y
1호선,남포,지하,2,N,Y,Y
1호선,노포(종합버스터미널),지상,2,N,Y,Y
1호선,당리(사하구청),지하,2,N,Y,Y
1호선,대티(동주대학),지하,5,Y,Y,Y
1호선,동대신,지하,2,N,Y,Y
1호선,동래,지상,2,Y,Y,Y
1호선,두실,지하,2,N,Y,Y
1호선,명륜,지상,2,N,Y,Y
1호선,범내골,지하,2,Y,Y,Y
1호선,범어사,지하,3,N,Y,Y
1호선,범일,지하,2,N,Y,Y
1호선,부산,지하,2,N,Y,Y
1호선,부산대,지상,2,N,Y,Y
1호선,부산진,지하,2,Y,Y,Y
1호선,부전(부산시민공원·송상현광장),지하,2,N,Y,Y
1호선,사하,지하,2,N,Y,Y
1호선,서대신,지하,4,Y,Y,Y
1호선,서면,지하,2,Y,Y,Y
1호선,시청(연제),지하,2,Y,Y,Y
1호선,신평,지하,1,N,Y,Y
1호선,양정,지하,2,Y,Y,Y
1호선,연산,지하,2,Y,Y,Y
1호선,온천장,지상,2,N,Y,Y
1호선,자갈치,지하,2,N,Y,Y
1호선,장전(부산가톨릭대학교),지상,2,N,Y,Y
1호선,좌천,지하,2,N,Y,Y
1호선,중앙,지하,2,Y,Y,Y
1호선,초량,지하,2,N,Y,Y
1호선,토성,지하,2,N,Y,Y
1호선,하단(부산본병원),지하,2,N,Y,Y
1호선,낫개,지하,3,N,Y,Y
1호선,다대포항,지하,2,N,Y,Y
1호선,다대포해수욕장,지하,2,Y,Y,Y
1호선,동매,지하,2,N,Y,Y
1호선,신장림,지하,2,N,Y,Y
1호선,장림,지하,2,N,Y,Y
2호선,가야,지하,3,Y,Y,Y
2호선,감전(사상구청),지하,2,N,Y,Y
2호선,개금,지하,3,Y,Y,Y
2호선,경성대·부경대(동명대학교),지하,3,Y,Y,Y
2호선,광안,지하,3,Y,Y,Y
2호선,구남,지하,3,N,Y,Y
2호선,구명,지하,3,N,Y,Y
2호선,국제금융센터·부산은행,지하,2,Y,Y,Y
2호선,금곡,지상,2,N,Y,Y
2호선,금련산,지하,4,Y,Y,Y
2호선,남양산(범어),지상,3,Y,Y,Y
2호선,남천(KBS·수영구청),지하,3,Y,Y,Y
2호선,냉정,지하,2,N,Y,Y
2호선,대연(고려병원),지하,3,Y,Y,Y
2호선,덕천(부산과기대),지하,2,Y,Y,Y
2호선,덕포,지하,2,N,Y,Y
2호선,동백,지하,2,N,Y,Y
2호선,동원,지상,1,Y,Y,Y
2호선,동의대,지하,4,Y,Y,Y
2호선,모덕,지하,2,N,Y,Y
2호선,모라,지하,2,N,Y,Y
2호선,못골(남구청),지하,3,Y,Y,Y
2호선,문현,지하,3,Y,Y,Y
2호선,민락,지하,3,N,Y,Y
2호선,벡스코(시립미술관),지하,2,N,Y,Y
2호선,부산대양산캠퍼스,지상,1,Y,Y,Y
2호선,부암(온종합병원),지하,3,Y,Y,Y
2호선,사상(서부터미널),지하,2,N,Y,Y
2호선,서면,지하,3,Y,Y,Y
2호선,센텀시티(BEXCO·신세계),지하,2,N,Y,Y
2호선,수영,지하,3,Y,Y,Y
2호선,수정(방송통신대),지하,2,N,Y,Y
2호선,양산(시청·동원과학기술대학교),지상,3,Y,Y,Y
2호선,율리,지하,2,N,Y,Y
2호선,장산(해운대백병원),지하,2,Y,Y,Y
2호선,전포,지하,3,Y,Y,Y
2호선,주례,지하,2,N,Y,Y
2호선,중동,지하,2,N,Y,Y
2호선,증산,지상,2,N,Y,Y
2호선,지게골,지하,4,Y,Y,Y
2호선,해운대,지하,2,Y,Y,Y
2호선,호포,지상,5,Y,Y,Y
2호선,화명,지하,2,N,Y,Y
3호선,강서구청,지상,5,N,Y,Y
3호선,거제(법원·검찰청),지하,2,N,Y,Y
3호선,구포,지상,2,N,Y,Y
3호선,남산정(부산폴리텍대학),지하,2,N,Y,Y
3호선,대저,지상,3,Y,Y,Y
3호선,덕천(부산과기대),지하,3,Y,Y,Y
3호선,만덕,지하,9,Y,Y,Y
3호선,망미(병무청),지하,6,Y,Y,Y
3호선,물만골,지하,5,Y,Y,Y
3호선,미남,지하,3,Y,Y,Y
3호선,배산,지하,8,Y,Y,Y
3호선,사직,지하,2,N,Y,Y
3호선,수영,지하,4,Y,Y,Y
3호선,숙등(부민병원),지하,3,N,Y,Y
3호선,연산,지하,4,Y,Y,Y
3호선,종합운동장,지하,3,Y,Y,Y
3호선,체육공원,지상,4,Y,Y,Y
4호선,고촌,지상,2,Y,Y,Y
4호선,금사,지하,3,Y,Y,Y
4호선,낙민,지하,3,Y,Y,Y
4호선,동래,지하,4,Y,Y,Y
4호선,윗반송,지상,2,Y,Y,Y
4호선,명장,지하,3,Y,Y,Y
4호선,미남,지하,3,Y,Y,Y
4호선,반여농산물시장,지상,1,Y,Y,Y
4호선,서동,지하,3,Y,Y,Y
4호선,석대,지상,2,Y,Y,Y
4호선,수안,지하,3,Y,Y,Y
4호선,안평(고촌주택단지),지상,2,Y,Y,Y
4호선,영산대(아랫반송),지상,2,Y,Y,Y
4호선,충렬사(안락),지하,3,Y,Y,Y
